24488,3415,0
24156,6820,0
26600,13062,0
25298,5280,1
25010,10,1
21675,4424,0
16896,260,1
16824,85,0
16330,10472,0
11235,7536,0
13830,7704,0
8200,8,1
10710,1924,0
7630,6230,0
10200,9384,0
4122,3770,0
3738,1690,0
3648,680,0
3480,1232,0
1950,6,1
2955,536,0
1266,880,0
5304,1605,0
1218,1160,0
1180,336,0
5280,1102,1
1102,230,1
798,80,0
682,30,0
546,30,0
520,407,0
459,40,0
301,200,0
260,4,1
230,48,1
174,100,0
60,36,0
48,10,1
40,29,0
40,30,0
10,2,1
49800,30122,0
44310,26708,0
40560,40222,0
42075,20248,0
35530,1856,0
35390,3084,0
35380,7164,0
33210,1462,0
34730,33154,0
31390,5984,0
86450,32808,0
76780,27594,0
74155,53912,0
73400,14823,0
62220,12,1
54160,5075,0
33655,9848,0
126750,84890,0
125560,8589,0
125160,57584,0
121210,25298,1
108800,34894,0
101290,82416,0
